majorCategory,major,women,median,fulltime,college,unemploymentRate
Law & Public Policy,Criminal Justice And Fire Protection,0.47501047,0.318181818,0.719585929,0.194173518,0.082452199
Arts,Commercial Art And Graphic Design,0.690365288,0.318181818,0.651797449,0.447863637,0.096797577
Communications & Journalism,Journalism,0.673143392,0.318181818,0.707955218,0.381485366,0.069176442
Physical Sciences,Multi-Disciplinary Or General Science,0.564639335,0.318181818,0.609972281,0.38846504,0.055806815
Communications & Journalism,Advertising And Public Relations,0.758060269,0.318181818,0.730126782,0.213100649,0.067960766
Humanities & Liberal Arts,Area Ethnic And Civilization Studies,0.719858952,0.318181818,0.601218144,0.343700516,0.063429289
Education,Special Needs Education,0.906677337,0.318181818,0.751035179,0.819229677,0.041507819
Biology & Life Science,Physiology,0.618223028,0.318181818,0.486491387,0.449839514,0.0691628
Social Science,Criminology,0.495397153,0.318181818,0.684943911,0.20845436,0.097243919
Health,Nutrition Sciences,0.864456079,0.318181818,0.507747633,0.49443898,0.068700676
Health,Health And Medical Administrative Services,0.764426528,0.318181818,0.74736319,0.167909722,0.089626262
Computers & Mathematics,Communication Technologies,0.366176878,0.318181818,0.664319379,0.307530956,0.119511469
Industrial Arts & Consumer Services,Transportation Sciences And Technologies,0.124950495,0.318181818,0.771485149,0.372982227,0.072724524
Agriculture & Natural Resources,Natural Resources Management,0.374355623,0.318181818,0.778479634,0.36729677,0.066619195
Biology & Life Science,Neuroscience,0.63814682,0.318181818,0.587499085,0.616815231,0.048481675
Interdisciplinary,Multi/Interdisciplinary Studies,0.770901106,0.318181818,0.65322056,0.527033907,0.070860927
Physical Sciences,Atmospheric Sciences And Meteorology,0.321296067,0.318181818,0.657679941,0.52696007,0.022228555
Agriculture & Natural Resources,Forestry,0.125034655,0.318181818,0.685611311,0.364482873,0.096725743
Agriculture & Natural Resources,Soil Science,0.305109489,0.318181818,0.712408759,0.579119086,0
Education,General Education,0.812876606,0.309090909,0.684729818,0.693558072,0.057359929
Humanities & Liberal Arts,History,0.448732309,0.309090909,0.596550923,0.334475513,0.095666912
Humanities & Liberal Arts,French German Latin And Other Common Foreign Language Studies,0.733967583,0.309090909,0.608133317,0.392822654,0.075566386
Humanities & Liberal Arts,Intercultural And International Studies,0.652129817,0.309090909,0.582312373,0.263280918,0.083633531
Education,Social Science Or History Teacher Education,0.507376968,0.309090909,0.693236954,0.61740113,0.054082941
Health,Community And Public Health,0.792095262,0.309090909,0.511730428,0.360046858,0.112144387
Education,Mathematics Teacher Education,0.728032591,0.309090909,0.790826719,0.815783454,0.016202835
Education,Educational Administration And Supervision,0.651741294,0.309090909,0.911691542,0.492176387,0
Health,Health And Medical Preparatory Programs,0.566640502,0.304545455,0.394740973,0.432643222,0.069779712
Biology & Life Science,Miscellaneous Biology,0.556603774,0.304545455,0.567532225,0.547573066,0.058545455
Biology & Life Science,Biology,0.601858152,0.303636364,0.514810711,0.484006692,0.070724732
Social Science,Sociology,0.718364766,0.3,0.636516421,0.313316293,0.084951001
Communications & Journalism,Mass Media,0.532333788,0.3,0.677135393,0.287719063,0.089836827
Health,Treatment Therapy Professions,0.721865913,0.3,0.619083954,0.586751539,0.059821207
Business,Hospitality Management,0.651659908,0.3,0.7368204,0.063303202,0.061169193
Education,Language And Drama Education,0.877227528,0.3,0.702930655,0.690853916,0.050306435
Humanities & Liberal Arts,Linguistics And Comparative Language And Literature,0.733991928,0.3,0.50972833,0.369189431,0.10443571
Education,Miscellaneous Education,0.64,0.3,0.715665025,0.607985272,0.059211951
Social Science,Interdisciplinary Social Sciences,0.76432029,0.3,0.589249697,0.353304675,0.092305816
Biology & Life Science,Ecology,0.576360061,0.3,0.61208215,0.37653263,0.054475193
Education,Secondary Teacher Education,0.601751825,0.295454545,0.731094891,0.681661815,0.05222898
Health,General Medical And Health Services,0.774576624,0.294545455,0.540670853,0.383676145,0.082101621
Humanities & Liberal Arts,Philosophy And Religious Studies,0.416809574,0.292727273,0.56711789,0.359688224,0.096051684
Education,Art And Music Education,0.6860244,0.291818182,0.673415055,0.69387143,0.038637747
Humanities & Liberal Arts,English Language And Literature,0.70089843,0.290909091,0.587580199,0.386714037,0.08772359
Education,Elementary Education,0.923745479,0.290909091,0.720915124,0.723756018,0.046585715
Industrial Arts & Consumer Services,Physical Fitness Parks Recreation And Leisure,0.502846315,0.290909091,0.619057518,0.26757407,0.051467273
Humanities & Liberal Arts,Liberal Arts,0.686992952,0.290909091,0.608121173,0.338505579,0.078267592
Arts,Film Video And Photographic Arts,0.423208896,0.290909091,0.579371017,0.234403334,0.10577224
Social Science,General Social Sciences,0.606888545,0.290909091,0.595975232,0.375130181,0.103454715
Agriculture & Natural Resources,Plant Science And Agronomy,0.339670982,0.290909091,0.781823085,0.316803154,0.045454545
Education,Science And Computer Teacher Education,0.683942619,0.290909091,0.734844979,0.785900783,0.047263682
Psychology & Social Work,Psychology,0.779933204,0.286363636,0.59228923,0.406413083,0.083810867
Arts,Music,0.506720763,0.281818182,0.478452328,0.288531744,0.075959674
Education,Physical And Health Education Teaching,0.444582285,0.281818182,0.688335165,0.536984114,0.074667496
Humanities & Liberal Arts,Art History And Criticism,0.845934379,0.281818182,0.63062292,0.292337448,0.060298284
Arts,Fine Arts,0.667033853,0.277272727,0.574476088,0.348397259,0.084186296
Industrial Arts & Consumer Services,Family And Consumer Sciences,0.91093257,0.272727273,0.633558042,0.450090082,0.067128194
Psychology & Social Work,Social Work,0.904074544,0.272727273,0.652468629,0.60946312,0.06882792
Agriculture & Natural Resources,Animal Sciences,0.752143884,0.272727273,0.671163028,0.318080879,0.050862499
Arts,Visual And Performing Arts,0.745661538,0.272727273,0.519815385,0.299067599,0.102197419
Education,Teacher Education: Multiple Levels,0.810704147,0.272727273,0.81243509,0.823340471,0.03654583
Psychology & Social Work,Miscellaneous Psychology,0.798919817,0.272727273,0.540195264,0.386776428,0.05190783
Psychology & Social Work,Human Services And Community Organization,0.90558993,0.272727273,0.688606785,0.34699783,0.037819026
Humanities & Liberal Arts,Humanities,0.697384245,0.272727273,0.535929044,0.231195566,0.068584071
Humanities & Liberal Arts,Theology And Religious Vocations,0.383719006,0.263636364,0.598503658,0.410172713,0.062628297
Arts,Studio Arts,0.719974083,0.263636364,0.615597573,0.283865401,0.089552239
Industrial Arts & Consumer Services,Cosmetology Services And Culinary Arts,0.584776403,0.263636364,0.729019981,0.065086705,0.055676856
Agriculture & Natural Resources,Miscellaneous Agriculture,0.728494624,0.263636364,0.737903226,0.374418605,0.059766764
Humanities & Liberal Arts,Anthropology And Archeology,0.707136237,0.254545455,0.518664401,0.330881112,0.102791571
Health,Communication Disorders Sciences And Services,0.967998119,0.254545455,0.521826589,0.670530524,0.047584
Education,Early Childhood Education,0.968953683,0.254545455,0.733432653,0.722404842,0.040104981
Humanities & Liberal Arts,Other Foreign Languages,0.690110675,0.25,0.463852196,0.329835508,0.107115726
Arts,Drama And Theater Arts,0.666119448,0.245454545,0.58144697,0.193391401,0.07754113
Humanities & Liberal Arts,Composition And Rhetoric,0.629504564,0.245454545,0.534005171,0.322527071,0.081742207
Biology & Life Science,Zoology,0.637293376,0.236363636,0.599714592,0.44272248,0.04632028
Psychology & Social Work,Educational Psychology,0.817098809,0.227272727,0.647512263,0.700235294,0.065112187
Psychology & Social Work,Clinical Psychology,0.799859056,0.227272727,0.607470049,0.469300333,0.149048198
Psychology & Social Work,Counseling Psychology,0.798746217,0.212727273,0.68179853,0.636219222,0.053620646
Education,Library Science,0.877959927,0.2,0.54007286,0.388140162,0.104945718
